iter	Passed	Remaining
833	1184	235
834	1185	234
835	1186	232
836	1187	231
837	1189	229
838	1190	228
839	1191	226
840	1192	225
841	1194	224
842	1195	222
843	1196	221
844	1197	219
845	1198	218
846	1200	216
847	1203	215
848	1204	214
849	1205	212
850	1206	211
851	1208	209
852	1209	208
853	1210	206
854	1211	205
855	1212	204
856	1214	202
857	1215	201
858	1217	199
859	1219	198
860	1220	197
861	1222	195
862	1223	194
863	1224	192
864	1226	191
865	1227	189
866	1229	188
867	1230	187
868	1233	185
869	1234	184
870	1235	183
871	1236	181
872	1238	180
873	1239	178
874	1240	177
875	1241	175
876	1242	174
877	1244	172
878	1245	171
879	1247	170
880	1248	168
881	1249	167
882	1250	165
883	1252	164
884	1253	162
885	1254	161
886	1255	159
887	1257	158
888	1258	157
889	1259	155
890	1261	154
891	1263	152
892	1264	151
893	1265	150
894	1266	148
895	1267	147
896	1269	145
897	1270	144
898	1272	142
899	1273	141
900	1274	140
901	1276	138
902	1277	137
903	1279	135
904	1280	134
905	1281	132
906	1282	131
907	1283	130
908	1285	128
909	1286	127
910	1287	125
911	1288	124
912	1289	122
913	1292	121
914	1293	120
915	1294	118
916	1296	117
917	1297	115
918	1298	114
919	1299	113
920	1300	111
921	1301	110
922	1303	108
923	1304	107
924	1306	105
925	1307	104
926	1308	103
927	1310	101
928	1311	100
929	1312	98
930	1313	97
931	1314	95
932	1316	94
933	1317	93
934	1318	91
935	1319	90
936	1321	88
937	1323	87
938	1324	86
939	1325	84
940	1327	83
941	1328	81
942	1329	80
943	1330	78
944	1332	77
945	1333	76
946	1334	74
947	1336	73
948	1337	71
949	1339	70
950	1340	69
951	1341	67
952	1342	66
953	1343	64
954	1344	63
955	1346	61
956	1347	60
957	1348	59
958	1351	57
959	1352	56
960	1353	54
961	1355	53
962	1356	52
963	1357	50
964	1358	49
965	1359	47
966	1361	46
967	1362	45
968	1363	43
969	1365	42
970	1366	40
971	1368	39
972	1369	37
973	1370	36
974	1371	35
975	1372	33
976	1374	32
977	1375	30
978	1376	29
979	1378	28
980	1381	26
981	1384	25
982	1386	23
983	1388	22
984	1390	21
985	1391	19
986	1392	18
987	1394	16
988	1396	15
989	1397	14
990	1398	12
991	1400	11
992	1401	9
993	1402	8
994	1403	7
995	1404	5
996	1405	4
997	1407	2
998	1409	1
999	1410	0
